seq,name/first,name/last,age,street,city,state,zip,dollar,pick,date
1,Devin,Rodriguez,20,Lewfu Heights,Ravagbo,GA,97861,$9631.06,YELLOW,04/22/1999
2,Billy,Singleton,45,Binpap Trail,Ibewedo,MO,10561,$2360.87,RED,07/08/1984
3,Scott,Strickland,64,Tadur Road,Lejfetnoj,AK,26622,$7914.98,WHITE,11/27/1972
4,Eric,Hoffman,28,Awupag Terrace,Kalbearu,NH,91500,$7029.61,BLUE,02/04/1904
5,Celia,Williams,46,Cibrub Lane,Dojimat,AR,00273,$9804.07,YELLOW,03/12/2030
6,Christopher,Schwartz,28,Ugmic Way,Kufruli,MA,86511,$2624.52,RED,08/15/1981
7,Thomas,Cortez,59,Koleb Manor,Vekegu,PA,74077,$7857.18,RED,04/05/2045
8,Dominic,Simon,19,Amejip Manor,Kukobes,ID,46473,$7437.04,WHITE,06/24/2060
9,Betty,Duncan,25,Guol Parkway,Zuhilpep,IL,96927,$7016.64,YELLOW,10/01/1913
10,Annie,Norman,62,Selna Drive,Ukuowvof,WY,37640,$1119.81,GREEN,07/08/1953
11,Adele,Gardner,52,Uluzu Extension,Aralesa,IA,13570,$9660.59,GREEN,09/08/1925
12,Manuel,Schultz,37,Hirag Pass,Kakiwbag,SC,40120,$5247.37,GREEN,07/09/1933
13,Mabelle,Rivera,53,Rizi Road,Vabikzo,MO,93399,$468.51,RED,12/14/2040
14,Sean,Howard,57,Kinim Place,Oguvruk,NH,71268,$8070.16,GREEN,04/28/2007
15,Rachel,Bryant,21,Sudo Path,Nutjubte,TN,03308,$3688.83,YELLOW,03/07/2028
16,Alexander,Flowers,43,Umaaj Trail,Daunemi,RI,50637,$8841.73,YELLOW,01/19/2018
17,Della,Bennett,53,Anco Pass,Jawtazbi,MS,05158,$910.41,WHITE,04/26/1929
18,Rebecca,Powers,29,Fovi Pass,Kodepfib,TX,09407,$1122.09,BLUE,08/14/2042
19,Lula,Beck,60,Wibo Circle,Zivukdih,MO,81168,$91.24,YELLOW,12/08/1904
20,Steve,Franklin,64,Idvur Road,Ebsozgu,TX,28899,$9003.80,YELLOW,12/29/2067
21,Madge,Bridges,52,Corep Ridge,Ruadikaj,HI,59594,$1324.87,YELLOW,04/09/2041
22,Marc,Lucas,33,Kujaf Plaza,Ulififiz,WI,14685,$7133.22,RED,09/20/1952
23,Bertha,Watkins,19,Ratko Turnpike,Raekci,MD,23959,$6042.89,RED,06/17/2009
24,Eliza,Crawford,65,Uvapil Heights,Cohbucof,ID,50814,$4916.39,BLUE,05/18/1968
25,Owen,Garza,43,Zuvi Point,Munedle,DE,47547,$7818.93,YELLOW,06/23/1933
26,Luis,Sanchez,25,Lulubi River,Cepebfu,MS,15245,$95.77,BLUE,05/26/2067
